keys,en,ja,pt_BR,es_MX
MENU_FREEPLAY,FREEPLAY,フリープレー,JOGO LIVRE,JUEGO LIBRE
MENU_OPTIONS,OPTIONS,設定,OPÇÕES,OPCIONES
MENU_MODS,MODS,モッズ,MODS,MODS
MENU_EXTRAS,EXTRAS,エクストラ,EXTRAS,EXTRAS
MENU_CREDITS,CREDITS,クレジット,CRÉDITOS,CRÉDITOS
MENU_QUIT,QUIT,終了,SAIR,CERRAR
SETTINGS_VIDEO,Video,ビデオ,Vídeo,Vídeo
SETTINGS_GAME,Game,ゲーム,Jogo,Juego
SETTINGS_TO_RIGHT,RIGHT,右へ,DIREITA,Derecha
SETTINGS_TO_LEFT,LEFT,左へ,ESQUERDA,Izquierda
SETTINGS_KEYBINDS,Keybinds,キーバインド,Teclas,Teclas
SETTINGS_ON,On,オン,Ligado,Encendido
SETTINGS_OFF,Off,オフ,Desligado,Apagado
SETTINGS_RESOLUTION,Resolution,解像度,Resolução,Resolución
SETTINGS_FULLSCREEN,Fullscreen,フルスクリーン,Tela Cheia,Pantalla completa
SETTINGS_APPLY,Apply,設定を適用する,Aplicar,Aplicar
SETTINGS_DEFAULT_RESTORE,Restore Defaults,初期設定に戻す,Restaurar Predeterminados,Restablecer a predeterminados
SETTINGS_VOLUME_MASTER,Master Volume,Master ボリューム,Volume Geral,Maestro
SETTINGS_VOLUME_MUSIC,Music Volume,音楽ボリューム,Música,Música
SETTINGS_VOLUME_SFX,SFX Volume,SFXボリューム,Efeitos Sonoros,Efectos de sonido
SETTINGS_VOLUME_VOICE,Voice Volume,音声ボリューム,Vozes,Voces
SETTINGS_LANGUAGE,Language,言語,Idioma,Idioma
